L1,L2,L3,L4,Counterion,Abbreviation_in_the_article,"IC50Dark,μM","IC50Dark,μM_clean","IC50Light,μM","IC50Light,μM_clean","λex,nm",Cell_line,"Time,h",DOI,Year
CCC1=C(CC)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,c1ccncc1,c1ccncc1,,,4,1.27 ± 0.32,"1,27",,,,HCC827,72,10.1039/C8SC02920B,2019
Fc1c(F)c(F)c(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)c(F)c1F,Cn1[c-][n+](C)c2ccccc21,[Cl-],,,1d′,0.46 ± 0.10,"0,46",0.04 ± 0.003,"0,04",visible light,NCI-H460,72,10.1039/C8SC02920B,2019
Cc1ccc(-c2c3nc(c(-c4ccc(C)cc4)c4ccc([nH]4)c(-c4ccc(C)cc4)c4nc(c(-c5ccc(C)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,,2a,1.22 ± 0.03,"1,22",0.11 ± 0.08,"0,11",visible light,NCI-H460,72,10.1039/C8SC02920B,2019
CCC1=C(CC)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,,2c,0.15 ± 0.05,"0,15",0.009 ± 0.004,"0,009",visible light,NCI-H460,72,10.1039/C8SC02920B,2019
CCC1=C(CC)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,CC(C)n1[c-][n+](C(C)C)cc1,CC(C)n1[c-][n+](C(C)C)cc1,,,2e,0.16 ± 0.04,"0,16",0.006 ± 0.002,"0,006",visible light,NCI-H460,72,10.1039/C8SC02920B,2019
Fc1c(F)c(F)c(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)c(F)c1F,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,,2f,0.31 ± 0.04,"0,31",0.03 ± 0.002,"0,03",visible light,NCI-H460,72,10.1039/C8SC02920B,2019
CCC1=C(CC)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,[C-]#[N+]c1ccc(OC)cc1,[C-]#[N+]c1ccc(OC)cc1,,,3,2.9 ± 0.02,"2,9",0.12 ± 0.02,"0,12",visible light,NCI-H460,72,10.1039/C8SC02920B,2019
CCC1=C(CC)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,c1ccncc1,c1ccncc1,,,4,0.11 ± 0.005,"0,11",0.005 ± 0.001,"0,005",visible light,NCI-H460,72,10.1039/C8SC02920B,2019
Cc1c(C)c(C)[c-](C)c1C,c1ccc2c(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cccc2c1,[Cl-],,F[P-](F)(F)(F)(F)F,IrL1,3.673,"3,673",,,,MDA-MB-468,48,10.1039/D2RA01036D,2022
Cc1c(C)c(C)[c-](C)c1C,c1ccc2c(-c3nc4c5cccnc5c5ncccc5c4[nH]3)c3ccccc3cc2c1,[Cl-],,F[P-](F)(F)(F)(F)F,IrL2,20.35,"20,35",,,,MDA-MB-468,48,10.1039/D2RA01036D,2022
Cc1c(C)c(C)[c-](C)c1C,O=c1c(-c2nc3c4cccnc4c4ncccc4c3[nH]2)coc2ccccc12,[Cl-],,F[P-](F)(F)(F)(F)F,IrL3,20.27,"20,27",,,,MDA-MB-468,48,10.1039/D2RA01036D,2022
Cc1c(C)c(C)[c-](C)c1C,c1ccc2c(-c3nc4c5cccnc5c5ncccc5c4[nH]3)c[nH]c2c1,[Cl-],,F[P-](F)(F)(F)(F)F,IrL4,5.202,"5,202",,,,MDA-MB-468,48,10.1039/D2RA01036D,2022
Cc1c(C)c(C)[c-](C)c1C,c1ccc2sc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2c1,[Cl-],,F[P-](F)(F)(F)(F)F,IrL5,4.412,"4,412",,,,MDA-MB-468,48,10.1039/D2RA01036D,2022
Cc1c(C)c(C)[c-](C)c1C,c1ccc2c(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cccc2c1,[Cl-],,F[P-](F)(F)(F)(F)F,IrL1,11.42,"11,42",,,,HaCaT,48,10.1039/D2RA01036D,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(C(=O)NC3CC(C)(C)N([O])C(C)(C)C3)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-TEMPO1,14.5± 0.5,"14,5",,,,A2780,24,10.1039/C7SC03216A,2017
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(C(=O)NC3CC(C)(C)N([O])C(C)(C)C3)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-TEMPO1,8.6± 0.1,"8,6",,,,A2780cisR,24,10.1039/C7SC03216A,2017
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(C(=O)NC3CC(C)(C)N([O])C(C)(C)C3)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-TEMPO1,13.8± 0.5,"13,8",,,,A549,24,10.1039/C7SC03216A,2017
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(C(=O)NC3CC(C)(C)N([O])C(C)(C)C3)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-TEMPO1,16.21± 0.08,"16,21",,,,PC3,24,10.1039/C7SC03216A,2017
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(C(=O)NC3CC(C)(C)N([O])C(C)(C)C3)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-TEMPO1,32.7± 0.5,"32,7",,,,MRC-5,24,10.1039/C7SC03216A,2017
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC1(C)CC(NC(=O)c2ccnc(-c3cc(C(=O)NC4CC(C)(C)N([O])C(C)(C)C4)ccn3)c2)CC(C)(C)N1[O],,F[P-](F)(F)(F)(F)F,Ir-TEMPO2,3.0± 0.2,3,,,,A2780,24,10.1039/C7SC03216A,2017
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC1(C)CC(NC(=O)c2ccnc(-c3cc(C(=O)NC4CC(C)(C)N([O])C(C)(C)C4)ccn3)c2)CC(C)(C)N1[O],,F[P-](F)(F)(F)(F)F,Ir-TEMPO2,2.57± 0.08,"2,57",,,,A2780cisR,24,10.1039/C7SC03216A,2017
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC1(C)CC(NC(=O)c2ccnc(-c3cc(C(=O)NC4CC(C)(C)N([O])C(C)(C)C4)ccn3)c2)CC(C)(C)N1[O],,F[P-](F)(F)(F)(F)F,Ir-TEMPO2,7.5± 0.6,"7,5",,,,A549,24,10.1039/C7SC03216A,2017
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC1(C)CC(NC(=O)c2ccnc(-c3cc(C(=O)NC4CC(C)(C)N([O])C(C)(C)C4)ccn3)c2)CC(C)(C)N1[O],,F[P-](F)(F)(F)(F)F,Ir-TEMPO2,0.53± 0.02,"0,53",,,,PC3,24,10.1039/C7SC03216A,2017
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC1(C)CC(NC(=O)c2ccnc(-c3cc(C(=O)NC4CC(C)(C)N([O])C(C)(C)C4)ccn3)c2)CC(C)(C)N1[O],,F[P-](F)(F)(F)(F)F,Ir-TEMPO2,8.2± 0.7,"8,2",,,,MRC-5,24,10.1039/C7SC03216A,2017
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"0,84","0,84",,,,BEL-7404,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"1,24","1,24",,,,BEL-7404R,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"0,62","0,62",,,,H460,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"0,76","0,76",,,,H460/MX20,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"1,87","1,87",,,,SW620,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"5,27","5,27",,,,SW620/AD300,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"1,83","1,83",,,,SK-OV-3,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"1,97","1,97",,,,SKOV/Pt,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"1,14","1,14",,,,KB-3-1,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"1,31","1,31",,,,KCP4,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"1,16","1,16",,,,KBC-2,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"1,05","1,05",,,,KB-CV60,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"1,43","1,43",,,,KB/ATO,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"1,57","1,57",,,,MCF-7,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"1,62","1,62",,,,MCF-7/ADR,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"1,5","1,5",,,,A549,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"0,48","0,48",,,,A549R,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"0,95","0,95",,,,HeLa,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"1,68","1,68",,,,HCT116,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"1,55","1,55",,,,HepG2,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"1,79","1,79",,,,BEL-7402,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"16,4","16,4",,,,HL-7702,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,"3,11","3,11",,,,HEK-293,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"1,57","1,57",,,,BEL-7404,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"2,23","2,23",,,,BEL-7404R,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"1,3","1,3",,,,H460,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"1,45","1,45",,,,H460/MX20,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"1,75","1,75",,,,SW620,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"7,38","7,38",,,,SW620/AD300,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"2,54","2,54",,,,SK-OV-3,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"2,86","2,86",,,,SKOV/Pt,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"1,35","1,35",,,,KB-3-1,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"1,74","1,74",,,,KCP4,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"1,76","1,76",,,,KBC-2,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"1,56","1,56",,,,KB-CV60,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"1,88","1,88",,,,KB/ATO,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"1,88","1,88",,,,MCF-7,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"1,92","1,92",,,,MCF-7/ADR,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"2,85","2,85",,,,A549,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"0,75","0,75",,,,A549R,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"0,75","0,75",,,,HeLa,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"1,27","1,27",,,,HCT116,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"1,78","1,78",,,,HepG2,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"2,35","2,35",,,,BEL-7402,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"8,88","8,88",,,,HL-7702,48,10.1039/C8SC01142G,2018
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr2,"3,42","3,42",,,,HEK-293,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"1,82","1,82",,,,BEL-7404,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"2,01","2,01",,,,BEL-7404R,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"1,71","1,71",,,,H460,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"1,78","1,78",,,,H460/MX20,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"2,12","2,12",,,,SW620,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"3,86","3,86",,,,SW620/AD300,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"2,37","2,37",,,,SK-OV-3,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"2,84","2,84",,,,SKOV/Pt,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"1,41","1,41",,,,KB-3-1,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"1,21","1,21",,,,KCP4,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"1,52","1,52",,,,KBC-2,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"1,68","1,68",,,,KB-CV60,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"1,97","1,97",,,,KB/ATO,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"1,14","1,14",,,,MCF-7,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"1,33","1,33",,,,MCF-7/ADR,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"2,15","2,15",,,,A549,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"0,64","0,64",,,,A549R,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"1,54","1,54",,,,HeLa,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"1,6","1,6",,,,HCT116,48,10.1039/C8SC01142G,2018
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr3,"4,92","4,92",,,,HepG2,48,10.1039/C8SC01142G,2018
